,,行政部2026年预算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,全年合计,一季度,1月,2月,3月,二季度,4月,5月,6月,三季度,7月,8月,9月,四季度,10月,11月,12月,,,,,,,,,,,,
,,预估人数（正式+外包）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,杭州办公室,能源费,12000,3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",,,,,,,,,,,,
,,杭州办公室,绿植,3600,900,300.00 ,300.00 ,300.00 ,900,300.00 ,300.00 ,300.00 ,900,300.00 ,300.00 ,300.00 ,900,300.00 ,300.00 ,300.00 ,,,,,,,,,,,,
,,杭州办公室,日常耗材,6000,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,1500,500.00 ,500.00 ,500.00 ,,,,,,,,,,,,
,,杭州办公室,保洁费,12000,3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",,,,,,,,,,,,
,广州-小米4个工位,广州办公室,房租,72000,18000,"6,000.00 ","6,000.00 ","6,000.00 ",18000,"6,000.00 ","6,000.00 ","6,000.00 ",18000,"6,000.00 ","6,000.00 ","6,000.00 ",18000,"6,000.00 ","6,000.00 ","6,000.00 ",,,,,,,,,,,,
,南京-小米2个工位,南京小米工位,房租,36000,9000,"3,000.00 ","3,000.00 ","3,000.00 ",9000,"3,000.00 ","3,000.00 ","3,000.00 ",9000,"3,000.00 ","3,000.00 ","3,000.00 ",9000,"3,000.00 ","3,000.00 ","3,000.00 ",,,,,,,,,,,,
,珠海-10个工位,珠海办公室,房租,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,珠海-容纳20人,珠海横琴,房租,299432.4,74858.1,"24,952.70 ","24,952.70 ","24,952.70 ",74858.1,"24,952.70 ","24,952.70 ","24,952.70 ",74858.1,"24,952.70 ","24,952.70 ","24,952.70 ",74858.1,"24,952.70 ","24,952.70 ","24,952.70 ",,,,,,,,,,,,
,,珠海横琴,物业,20830.08,5207.52,"1,735.84 ","1,735.84 ","1,735.84 ",5207.52,"1,735.84 ","1,735.84 ","1,735.84 ",5207.52,"1,735.84 ","1,735.84 ","1,735.84 ",5207.52,"1,735.84 ","1,735.84 ","1,735.84 ",,,,,,,,,,,,
,,珠海横琴,能源,12000,3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",3000,"1,000.00 ","1,000.00 ","1,000.00 ",,,,,,,,,,,,
